questions_ids	answers_ids	questions_url	answers_url
43063436	43065255	https://stackoverflow.com/questions/43063436	https://stackoverflow.com/a/43065255
43063436	43065398	https://stackoverflow.com/questions/43063436	https://stackoverflow.com/a/43065398
47007633	47008344	https://stackoverflow.com/questions/47007633	https://stackoverflow.com/a/47008344
29311354	59044216	https://stackoverflow.com/questions/29311354	https://stackoverflow.com/a/59044216
29311354	52342168	https://stackoverflow.com/questions/29311354	https://stackoverflow.com/a/52342168
29311354	29312156	https://stackoverflow.com/questions/29311354	https://stackoverflow.com/a/29312156
29311354	29311393	https://stackoverflow.com/questions/29311354	https://stackoverflow.com/a/29311393
58700451	58772798	https://stackoverflow.com/questions/58700451	https://stackoverflow.com/a/58772798
59330690	59332435	https://stackoverflow.com/questions/59330690	https://stackoverflow.com/a/59332435
50947938	52099893	https://stackoverflow.com/questions/50947938	https://stackoverflow.com/a/52099893
59340426	59343110	https://stackoverflow.com/questions/59340426	https://stackoverflow.com/a/59343110
59340426	59341402	https://stackoverflow.com/questions/59340426	https://stackoverflow.com/a/59341402
59287314	59288004	https://stackoverflow.com/questions/59287314	https://stackoverflow.com/a/59288004
59287314	59287375	https://stackoverflow.com/questions/59287314	https://stackoverflow.com/a/59287375
8683018	42994964	https://stackoverflow.com/questions/8683018	https://stackoverflow.com/a/42994964
8683018	21524606	https://stackoverflow.com/questions/8683018	https://stackoverflow.com/a/21524606
8683018	14180030	https://stackoverflow.com/questions/8683018	https://stackoverflow.com/a/14180030
8683018	9313669	https://stackoverflow.com/questions/8683018	https://stackoverflow.com/a/9313669
59348057	59348387	https://stackoverflow.com/questions/59348057	https://stackoverflow.com/a/59348387
56415859	58722373	https://stackoverflow.com/questions/56415859	https://stackoverflow.com/a/58722373
244164	533596	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/533596
244164	16076530	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/16076530
244164	48265426	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/48265426
244164	9660714	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/9660714
244164	38775238	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/38775238
244164	4528136	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/4528136
244164	5051429	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/5051429
244164	244306	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/244306
244164	7287375	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/7287375
244164	5624935	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/5624935
244164	1202296	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/1202296
244164	533526	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/533526
59345871	59348503	https://stackoverflow.com/questions/59345871	https://stackoverflow.com/a/59348503
59185396	59295619	https://stackoverflow.com/questions/59185396	https://stackoverflow.com/a/59295619
26338688	29505651	https://stackoverflow.com/questions/26338688	https://stackoverflow.com/a/29505651
26338688	26339925	https://stackoverflow.com/questions/26338688	https://stackoverflow.com/a/26339925
38616077	47310093	https://stackoverflow.com/questions/38616077	https://stackoverflow.com/a/47310093
38616077	39667715	https://stackoverflow.com/questions/38616077	https://stackoverflow.com/a/39667715
12544056	58509615	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/58509615
12544056	52187331	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/52187331
12544056	44589075	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/44589075
12544056	30942416	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/30942416
12544056	23619544	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/23619544
59325629	59325887	https://stackoverflow.com/questions/59325629	https://stackoverflow.com/a/59325887
38162476	52018637	https://stackoverflow.com/questions/38162476	https://stackoverflow.com/a/52018637
38162476	38407093	https://stackoverflow.com/questions/38162476	https://stackoverflow.com/a/38407093
21151450	56609172	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/56609172
21151450	44002435	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/44002435
21151450	48517204	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/48517204
21151450	39817243	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/39817243
21151450	31211150	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/31211150
21151450	32020589	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/32020589
21151450	25472311	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/25472311
21151450	22207607	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/22207607
58700451	58772798	https://stackoverflow.com/questions/58700451	https://stackoverflow.com/a/58772798
51150153	55120158	https://stackoverflow.com/questions/51150153	https://stackoverflow.com/a/55120158
51150153	51150784	https://stackoverflow.com/questions/51150153	https://stackoverflow.com/a/51150784
43291679	43292139	https://stackoverflow.com/questions/43291679	https://stackoverflow.com/a/43292139
59306728	59307129	https://stackoverflow.com/questions/59306728	https://stackoverflow.com/a/59307129
59339576	59341270	https://stackoverflow.com/questions/59339576	https://stackoverflow.com/a/59341270
59339576	59339599	https://stackoverflow.com/questions/59339576	https://stackoverflow.com/a/59339599
59339576	59339602	https://stackoverflow.com/questions/59339576	https://stackoverflow.com/a/59339602
6467216	38010742	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/38010742
6467216	6467287	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/6467287
6467216	6467270	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/6467270
6467216	6467258	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/6467258
6467216	6467250	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/6467250
44623184	53568451	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/53568451
44623184	52496723	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/52496723
44623184	49710140	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/49710140
44623184	46413316	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/46413316
44623184	46373361	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/46373361
51249811	57094699	https://stackoverflow.com/questions/51249811	https://stackoverflow.com/a/57094699
51249811	56426278	https://stackoverflow.com/questions/51249811	https://stackoverflow.com/a/56426278
51249811	51253945	https://stackoverflow.com/questions/51249811	https://stackoverflow.com/a/51253945
51249811	51252197	https://stackoverflow.com/questions/51249811	https://stackoverflow.com/a/51252197
53256877	53263124	https://stackoverflow.com/questions/53256877	https://stackoverflow.com/a/53263124
