questions_ids	answers_ids	questions_url	answers_url
59344738	59346810	https://stackoverflow.com/questions/59344738	https://stackoverflow.com/a/59346810
59252142	59252215	https://stackoverflow.com/questions/59252142	https://stackoverflow.com/a/59252215
59331941	59332040	https://stackoverflow.com/questions/59331941	https://stackoverflow.com/a/59332040
47007633	47025495	https://stackoverflow.com/questions/47007633	https://stackoverflow.com/a/47025495
29311354	29311392	https://stackoverflow.com/questions/29311354	https://stackoverflow.com/a/29311392
15980302	15980462	https://stackoverflow.com/questions/15980302	https://stackoverflow.com/a/15980462
57094476	57094526	https://stackoverflow.com/questions/57094476	https://stackoverflow.com/a/57094526
58700451	58710700	https://stackoverflow.com/questions/58700451	https://stackoverflow.com/a/58710700
59340426	59345125	https://stackoverflow.com/questions/59340426	https://stackoverflow.com/a/59345125
8683018	10551663	https://stackoverflow.com/questions/8683018	https://stackoverflow.com/a/10551663
59348057	59348280	https://stackoverflow.com/questions/59348057	https://stackoverflow.com/a/59348280
53560249	53560405	https://stackoverflow.com/questions/53560249	https://stackoverflow.com/a/53560405
244164	244177	https://stackoverflow.com/questions/244164	https://stackoverflow.com/a/244177
52454259	52455048	https://stackoverflow.com/questions/52454259	https://stackoverflow.com/a/52455048
30065255	30081557	https://stackoverflow.com/questions/30065255	https://stackoverflow.com/a/30081557
12544056	13055551	https://stackoverflow.com/questions/12544056	https://stackoverflow.com/a/13055551
48787209	51904538	https://stackoverflow.com/questions/48787209	https://stackoverflow.com/a/51904538
59240302	59330100	https://stackoverflow.com/questions/59240302	https://stackoverflow.com/a/59330100
59325629	59326008	https://stackoverflow.com/questions/59325629	https://stackoverflow.com/a/59326008
21151450	21156856	https://stackoverflow.com/questions/21151450	https://stackoverflow.com/a/21156856
58700451	58710700	https://stackoverflow.com/questions/58700451	https://stackoverflow.com/a/58710700
51150153	51150623	https://stackoverflow.com/questions/51150153	https://stackoverflow.com/a/51150623
43291679	43291972	https://stackoverflow.com/questions/43291679	https://stackoverflow.com/a/43291972
59336353	59337393	https://stackoverflow.com/questions/59336353	https://stackoverflow.com/a/59337393
50101117	50101641	https://stackoverflow.com/questions/50101117	https://stackoverflow.com/a/50101641
54987985	54988296	https://stackoverflow.com/questions/54987985	https://stackoverflow.com/a/54988296
20403403	20404324	https://stackoverflow.com/questions/20403403	https://stackoverflow.com/a/20404324
6467216	6467253	https://stackoverflow.com/questions/6467216	https://stackoverflow.com/a/6467253
44623184	46268531	https://stackoverflow.com/questions/44623184	https://stackoverflow.com/a/46268531
